Algorithm,Size,Comparisons,Swaps,Writes,Min Runtime,Max Runtime,Mean Runtime
BUBBLE,20,2090,473,0,0.258631,1.588257,0.48013580000000006
SELECTION,20,1045,93,0,0.092773,0.160938,0.1143722
INSERTION,20,577,473,88,0.070404,0.166395,0.0938046
MERGE,20,346,0,484,0.097969,0.349906,0.1582214
QUICK,20,396,258,0,0.045511,0.129436,0.06397710000000001
HEAP,20,852,517,0,0.182014,0.309649,0.2092477
BUBBLE,70,26565,7265,0,1.941905,4.288305,2.4846060999999997
SELECTION,70,13282,357,0,0.828704,1.69915,0.9947659999999999
INSERTION,70,7645,7265,357,0.822099,1.078239,0.8662461
MERGE,70,1919,0,2376,0.270258,0.402519,0.2942113
QUICK,70,2304,1798,0,0.220805,0.281482,0.23295770000000005
HEAP,70,4218,2359,0,0.191932,0.412677,0.22612569999999996
BUBBLE,100,153450,36084,0,1.180923,4.206227,1.4285187
SELECTION,100,76725,1441,0,0.499149,1.790778,0.8755309333333335
INSERTION,100,37618,36084,1472,0.311302,1.205293,0.9207004333333334
MERGE,100,8509,0,10416,0.185209,0.368988,0.20589153333333332
QUICK,100,11160,7858,0,0.077461,12.588532,0.5209324333333334
HEAP,100,19018,10540,0,0.265232,0.379149,0.28947383333333326
BUBBLE,150,346425,84351,0,1.070539,17.722241,3.0380198
SELECTION,150,173212,2170,0,1.004334,20.978828,2.832140133333333
INSERTION,150,86660,84351,2216,0.818232,13.315252,1.8449038
MERGE,150,14105,0,16957,0.180655,0.605836,0.25855653333333334
QUICK,150,17422,11795,0,0.091133,0.548004,0.1460016
HEAP,150,31387,17236,0,0.272495,0.841212,0.3736539333333334
BUBBLE,1000,5494500,1352417,0,52.931839,336.862011,134.5258061
SELECTION,1000,2747250,5428,0,17.053862,115.992623,39.131234000000006
INSERTION,1000,1357911,1352417,5417,18.968791,141.178412,43.36809409999999
MERGE,1000,47971,0,54868,0.9389,1.361572,1.0979348
QUICK,1000,65994,53652,0,0.712782,1.133511,0.8020331
HEAP,1000,103169,54862,0,1.704947,2.231181,1.8582098999999999
BUBBLE,1000,5494500,1331335,0,56.272701,270.056958,124.55659920000001
SELECTION,1000,2747250,5417,0,23.910745,61.41472,38.0835962
INSERTION,1000,1336830,1331335,5406,16.111421,200.294646,59.5234971
MERGE,1000,47811,0,54868,0.630743,1.044911,0.8295648999999999
QUICK,1000,68700,51969,0,0.468126,0.858912,0.6276002
HEAP,1000,103378,55033,0,1.196328,2.076121,1.4370154000000002
BUBBLE,200,417900,107856,0,2.012216,28.203375,4.8375493999999994
SELECTION,200,208950,2047,0,0.824544,2.809983,1.2375685499999998
INSERTION,200,109945,107856,2047,1.055298,3.257079,1.4805330499999998
MERGE,200,13566,0,16212,0.248373,0.637368,0.3256656000000001
QUICK,200,14899,9513,0,0.109271,0.419926,0.16557845
HEAP,200,29778,16023,0,0.306527,0.906724,0.4144582
BUBBLE,500,2619750,642621,0,10.946025,28.619672,16.436960300000003
SELECTION,500,1309875,5124,0,3.373239,189.030218,15.27478595
INSERTION,500,647860,642621,5134,4.12841,125.68769,14.787944
MERGE,500,40561,0,47124,0.38238,0.714811,0.46623639999999994
QUICK,500,54054,40887,0,0.230175,0.577956,0.32026450000000006
HEAP,500,88662,47617,0,0.618041,2.450763,0.96735385
BUBBLE,700,5137650,1200885,0,19.954095,134.320597,39.89311505
SELECTION,700,2568825,7234,0,7.465209,108.694257,17.773338200000005
INSERTION,700,1208224,1200885,7224,6.913897,32.688272,16.394869950000004
MERGE,700,60490,0,70098,1.014026,2.973858,1.4169749
QUICK,700,87790,61078,0,0.723172,2.68829,1.0486187999999999
HEAP,700,131113,70287,0,1.458577,3.740255,1.8806714
