Algorithm,Size,Comparisons,Swaps,Writes,Min Runtime,Max Runtime,Mean Runtime
BUBBLE,100,9900,2675,0,0.730762,5.699979,1.6400298
SELECTION,100,4950,93,0,0.297265,1.742362,0.9025432500000001
INSERTION,100,2774,2675,94,0.717661,1.574136,0.9800795499999999
MERGE,100,542,0,672,0.121488,0.439284,0.2585837
QUICK,100,671,488,0,0.059541,0.268319,0.14949050000000003
HEAP,100,1234,679,0,0.285611,7.101427,0.8196187
BUBBLE,200,39800,9671,0,1.141407,6.342315,1.8762404499999998
SELECTION,200,19900,193,0,1.26042,7.312676,1.7842048499999996
INSERTION,200,9870,9671,194,0.759178,2.485767,0.94266185
MERGE,200,1282,0,1544,0.246805,0.391159,0.29002929999999993
QUICK,200,1550,1196,0,0.131933,0.202348,0.1620212
HEAP,200,2861,1564,0,0.173416,0.24438,0.19010975000000002
BUBBLE,300,89700,22711,0,1.465516,10.638894,2.32755366
SELECTION,300,44850,290,0,0.442073,1.404452,0.70475512
INSERTION,300,23010,22711,294,0.728652,1.703369,1.05163112
MERGE,300,2102,0,2488,0.219258,0.490404,0.32951908
QUICK,300,2680,2039,0,0.168303,0.509392,0.23306244000000004
HEAP,300,4568,2459,0,0.190131,0.339141,0.22941663999999995
BUBBLE,400,159600,39758,0,2.090728,14.463774,3.0007106
SELECTION,400,79800,393,0,0.847228,6.917812,1.4238315
INSERTION,400,40157,39758,388,1.16276,2.980268,1.752810175
MERGE,400,2949,0,3488,0.193414,0.337469,0.24177880000000007
QUICK,400,3859,2980,0,0.254072,0.475479,0.31863955
HEAP,400,6473,3501,0,0.284713,0.552874,0.36963099999999993
BUBBLE,600,359400,91800,0,6.446781,72.984648,11.352256550000002
SELECTION,600,179700,582,0,1.886743,36.353608,4.22068125
INSERTION,600,92399,91800,587,3.339456,22.7055,6.769405800000001
MERGE,600,4789,0,5576,0.421171,0.633143,0.4917956
QUICK,600,6423,5080,0,0.348573,0.466993,0.41269339999999993
HEAP,600,10442,5599,0,0.453938,0.612693,0.5229258999999999
BUBBLE,800,639200,157631,0,11.771991,114.709443,31.7328164
SELECTION,800,319600,785,0,3.513529,60.941197,8.8496375
INSERTION,800,158430,157631,789,4.655656,18.270382,8.472050949999998
MERGE,800,6737,0,7776,0.526518,0.924861,0.6546720000000001
QUICK,800,9571,7791,0,0.551378,0.892696,0.7010344500000001
HEAP,800,14587,7764,0,0.766156,1.08038,0.8967211500000001
BUBBLE,1000,999000,251707,0,27.051756,208.656212,77.18096045
SELECTION,1000,499500,990,0,7.153486,109.117088,15.720319049999997
INSERTION,1000,252706,251707,982,6.870061,108.666746,17.8180112
MERGE,1000,8685,0,9976,0.513917,0.666404,0.567388
QUICK,1000,12853,10532,0,0.553547,26.934156,1.9638410500000003
HEAP,1000,18815,10035,0,0.884095,1.463779,1.1186893000000002
BUBBLE,2000,3998000,995745,0,115.181548,534.284359,274.9442027
SELECTION,2000,1999000,1980,0,39.885276,239.312006,104.05765390000002
INSERTION,2000,997744,995745,1975,34.9456,231.358442,96.5900512
MERGE,2000,19361,0,21952,1.035885,1.27767,1.1366347
QUICK,2000,37882,33727,0,1.419945,3.221774,1.8539059999999998
HEAP,2000,41519,21961,0,1.926871,47.952041,6.866988599999999
BUBBLE,3000,8997000,2202199,0,477.43825,735.975085,570.5758421
SELECTION,3000,4498500,2972,0,82.493707,383.202861,216.80188149999998
INSERTION,3000,2205198,2202199,2970,87.554111,435.349101,224.80231010000003
MERGE,3000,30928,0,34904,1.573627,3.426659,2.4737899000000003
QUICK,3000,69535,63467,0,4.314919,5.920026,5.0129777
HEAP,3000,65940,34849,0,3.016862,6.026837,4.197772400000001
BUBBLE,4000,15996000,3928348,0,669.765625,1140.643739,956.7593183000001
SELECTION,4000,7998000,3954,0,197.283744,553.231292,382.9014442
INSERTION,4000,3932347,3928348,3955,232.189537,531.73176,378.9171722
MERGE,4000,42722,0,47904,5.9064,12.631083,7.634843599999999
QUICK,4000,114944,104974,0,8.250853,15.224934,11.3357488
HEAP,4000,91051,47982,0,4.93651,9.183251,6.9674220999999985
BUBBLE,6000,35994000,8942161,0,1940.521204,2746.125578,2239.1891543
SELECTION,6000,17997000,5945,0,718.052714,987.953245,845.5298124999999
INSERTION,6000,8948160,8942161,5943,742.062509,980.054474,915.7984643000002
MERGE,6000,67798,0,75808,3.24059,6.686729,4.3184521
QUICK,6000,231019,218414,0,9.846547,141.054089,26.1275992
HEAP,6000,143849,75591,0,4.664915,8.949456,6.736617
BUBBLE,8000,63992000,15853066,0,3491.167171,4612.461083,4025.487803000001
SELECTION,8000,31996000,7922,0,1403.39719,1805.991417,1572.9025729
INSERTION,8000,15861065,15853066,7922,1429.055051,1981.408398,1646.4544841
MERGE,8000,93638,0,103808,5.724521,149.116541,22.187196900000004
QUICK,8000,390945,374685,0,16.671105,64.43467,30.5701971
HEAP,8000,197654,103630,0,6.775387,64.948335,13.9554874
BUBBLE,9999,99970002,24932164,0,6002.159225,7831.4895,6942.3092896
SELECTION,9999,49985001,9896,0,2111.235159,2975.737469,2436.937656
INSERTION,9999,24942162,24932164,9896,2390.93609,3307.017563,2725.8821678
MERGE,9999,120224,0,133601,13.761669,26.163361,19.0681936
QUICK,9999,587880,569015,0,64.115527,78.508924,69.4774564
HEAP,9999,253910,133084,0,13.453886,143.254796,45.2370646
